Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-07-01 09:00:00+09:00,648.0,648.0,647.0,647.0,0,0.0,0.0
2024-07-01 09:06:00+09:00,646.0,646.0,646.0,646.0,100,0.0,0.0
2024-07-01 09:10:00+09:00,647.0,647.0,647.0,647.0,200,0.0,0.0
2024-07-01 09:35:00+09:00,647.0,647.0,647.0,647.0,100,0.0,0.0
2024-07-01 10:01:00+09:00,648.0,648.0,648.0,648.0,100,0.0,0.0
2024-07-01 10:09:00+09:00,649.0,650.0,649.0,650.0,800,0.0,0.0
2024-07-01 10:20:00+09:00,651.0,651.0,651.0,651.0,100,0.0,0.0
2024-07-01 10:23:00+09:00,652.0,653.0,652.0,653.0,600,0.0,0.0
2024-07-01 10:47:00+09:00,656.0,656.0,656.0,656.0,300,0.0,0.0
2024-07-01 10:51:00+09:00,649.0,649.0,649.0,649.0,100,0.0,0.0
2024-07-01 10:57:00+09:00,651.0,651.0,650.0,650.0,200,0.0,0.0
2024-07-01 11:28:00+09:00,654.0,654.0,654.0,654.0,200,0.0,0.0
2024-07-01 11:35:00+09:00,654.0,654.0,654.0,654.0,0,0.0,0.0
2024-07-01 12:30:00+09:00,651.0,651.0,651.0,651.0,6100,0.0,0.0
2024-07-01 13:05:00+09:00,652.0,654.0,652.0,654.0,300,0.0,0.0
2024-07-01 13:06:00+09:00,655.0,655.0,655.0,655.0,100,0.0,0.0
2024-07-01 13:07:00+09:00,655.0,655.0,655.0,655.0,900,0.0,0.0
2024-07-01 13:36:00+09:00,655.0,655.0,655.0,655.0,800,0.0,0.0
2024-07-01 13:44:00+09:00,656.0,656.0,656.0,656.0,200,0.0,0.0
2024-07-01 13:45:00+09:00,656.0,656.0,655.0,655.0,600,0.0,0.0
2024-07-01 14:17:00+09:00,655.0,655.0,655.0,655.0,200,0.0,0.0
2024-07-01 14:27:00+09:00,656.0,658.0,656.0,658.0,2100,0.0,0.0
2024-07-01 14:29:00+09:00,658.0,658.0,658.0,658.0,400,0.0,0.0
2024-07-01 14:56:00+09:00,658.0,658.0,658.0,658.0,200,0.0,0.0
2024-07-01 14:59:00+09:00,660.0,660.0,657.0,657.0,300,0.0,0.0
2024-07-02 09:00:00+09:00,660.0,660.0,660.0,660.0,900,0.0,0.0
2024-07-02 09:02:00+09:00,659.0,659.0,659.0,659.0,1000,0.0,0.0
2024-07-02 09:16:00+09:00,662.0,663.0,662.0,663.0,300,0.0,0.0
2024-07-02 09:21:00+09:00,662.0,662.0,662.0,662.0,200,0.0,0.0
2024-07-02 09:30:00+09:00,662.0,662.0,662.0,662.0,100,0.0,0.0
2024-07-02 09:45:00+09:00,662.0,662.0,662.0,662.0,500,0.0,0.0
2024-07-02 09:55:00+09:00,661.0,661.0,661.0,661.0,100,0.0,0.0
2024-07-02 10:09:00+09:00,662.0,662.0,662.0,662.0,600,0.0,0.0
2024-07-02 10:10:00+09:00,662.0,662.0,662.0,662.0,400,0.0,0.0
2024-07-02 10:11:00+09:00,663.0,663.0,663.0,663.0,200,0.0,0.0
2024-07-02 10:18:00+09:00,662.0,662.0,662.0,662.0,200,0.0,0.0
2024-07-02 10:26:00+09:00,661.0,661.0,661.0,661.0,100,0.0,0.0
2024-07-02 10:30:00+09:00,662.0,662.0,662.0,662.0,500,0.0,0.0
2024-07-02 10:40:00+09:00,662.0,662.0,662.0,662.0,200,0.0,0.0
2024-07-02 10:45:00+09:00,661.0,661.0,661.0,661.0,400,0.0,0.0
2024-07-02 10:47:00+09:00,663.0,664.0,663.0,664.0,2500,0.0,0.0
2024-07-02 10:48:00+09:00,665.0,665.0,665.0,665.0,100,0.0,0.0
2024-07-02 11:00:00+09:00,664.0,664.0,664.0,664.0,100,0.0,0.0
2024-07-02 11:07:00+09:00,665.0,665.0,665.0,665.0,100,0.0,0.0
2024-07-02 11:13:00+09:00,665.0,669.0,665.0,669.0,800,0.0,0.0
2024-07-02 11:14:00+09:00,668.0,671.0,668.0,670.0,2500,0.0,0.0
2024-07-02 11:19:00+09:00,670.0,672.0,670.0,672.0,1100,0.0,0.0
2024-07-02 11:25:00+09:00,671.0,671.0,671.0,671.0,100,0.0,0.0
2024-07-02 11:29:00+09:00,671.0,671.0,671.0,671.0,200,0.0,0.0
2024-07-02 11:30:00+09:00,672.0,672.0,672.0,672.0,100,0.0,0.0
2024-07-02 11:35:00+09:00,672.0,672.0,672.0,672.0,0,0.0,0.0
2024-07-02 12:30:00+09:00,671.0,671.0,670.0,670.0,14300,0.0,0.0
2024-07-02 12:32:00+09:00,670.0,670.0,670.0,670.0,100,0.0,0.0
2024-07-02 12:37:00+09:00,668.0,668.0,668.0,668.0,100,0.0,0.0
2024-07-02 12:43:00+09:00,668.0,668.0,668.0,668.0,100,0.0,0.0
2024-07-02 12:46:00+09:00,667.0,667.0,667.0,667.0,100,0.0,0.0
2024-07-02 13:25:00+09:00,667.0,667.0,667.0,667.0,500,0.0,0.0
2024-07-02 13:34:00+09:00,667.0,667.0,667.0,667.0,100,0.0,0.0
2024-07-02 13:36:00+09:00,668.0,668.0,668.0,668.0,500,0.0,0.0
2024-07-02 13:39:00+09:00,667.0,667.0,664.0,664.0,1200,0.0,0.0
2024-07-02 13:58:00+09:00,665.0,665.0,665.0,665.0,100,0.0,0.0
2024-07-02 14:57:00+09:00,669.0,669.0,669.0,669.0,500,0.0,0.0
2024-07-03 09:00:00+09:00,666.0,666.0,666.0,666.0,700,0.0,0.0
2024-07-03 09:07:00+09:00,664.0,664.0,664.0,664.0,200,0.0,0.0
2024-07-03 09:14:00+09:00,664.0,664.0,664.0,664.0,100,0.0,0.0
2024-07-03 09:18:00+09:00,663.0,663.0,663.0,663.0,200,0.0,0.0
2024-07-03 09:21:00+09:00,665.0,665.0,665.0,665.0,100,0.0,0.0
2024-07-03 09:25:00+09:00,665.0,665.0,665.0,665.0,200,0.0,0.0
2024-07-03 09:37:00+09:00,665.0,665.0,665.0,665.0,600,0.0,0.0
2024-07-03 09:47:00+09:00,665.0,665.0,665.0,665.0,500,0.0,0.0
2024-07-03 09:52:00+09:00,664.0,664.0,663.0,663.0,400,0.0,0.0
2024-07-03 10:00:00+09:00,664.0,664.0,664.0,664.0,100,0.0,0.0
2024-07-03 10:15:00+09:00,665.0,665.0,665.0,665.0,200,0.0,0.0
2024-07-03 10:38:00+09:00,664.0,664.0,664.0,664.0,100,0.0,0.0
2024-07-03 11:00:00+09:00,663.0,663.0,663.0,663.0,100,0.0,0.0
2024-07-03 11:06:00+09:00,663.0,663.0,663.0,663.0,100,0.0,0.0
2024-07-03 11:23:00+09:00,663.0,663.0,663.0,663.0,100,0.0,0.0
2024-07-03 11:30:00+09:00,663.0,663.0,663.0,663.0,100,0.0,0.0
2024-07-03 11:35:00+09:00,663.0,663.0,663.0,663.0,0,0.0,0.0
2024-07-03 12:30:00+09:00,663.0,663.0,663.0,663.0,4300,0.0,0.0
2024-07-03 12:42:00+09:00,663.0,663.0,663.0,663.0,600,0.0,0.0
2024-07-03 12:45:00+09:00,664.0,664.0,664.0,664.0,300,0.0,0.0
2024-07-03 12:54:00+09:00,664.0,666.0,664.0,666.0,2600,0.0,0.0
2024-07-03 12:56:00+09:00,666.0,666.0,666.0,666.0,400,0.0,0.0
2024-07-03 13:12:00+09:00,664.0,664.0,661.0,661.0,1000,0.0,0.0
2024-07-03 13:40:00+09:00,664.0,664.0,662.0,662.0,300,0.0,0.0
2024-07-03 13:43:00+09:00,662.0,662.0,661.0,661.0,1100,0.0,0.0
2024-07-03 14:00:00+09:00,661.0,661.0,661.0,661.0,200,0.0,0.0
2024-07-03 14:05:00+09:00,662.0,662.0,662.0,662.0,100,0.0,0.0
2024-07-03 14:52:00+09:00,664.0,664.0,664.0,664.0,100,0.0,0.0
2024-07-03 14:56:00+09:00,665.0,665.0,665.0,665.0,300,0.0,0.0
2024-07-04 09:00:00+09:00,666.0,666.0,665.0,665.0,700,0.0,0.0
2024-07-04 09:04:00+09:00,663.0,663.0,662.0,662.0,400,0.0,0.0
2024-07-04 09:10:00+09:00,661.0,661.0,661.0,661.0,200,0.0,0.0
2024-07-04 09:17:00+09:00,664.0,664.0,664.0,664.0,100,0.0,0.0
2024-07-04 09:52:00+09:00,662.0,662.0,662.0,662.0,100,0.0,0.0
2024-07-04 10:18:00+09:00,662.0,662.0,662.0,662.0,100,0.0,0.0
2024-07-04 10:38:00+09:00,664.0,665.0,664.0,665.0,1200,0.0,0.0
2024-07-04 10:40:00+09:00,664.0,664.0,664.0,664.0,100,0.0,0.0
2024-07-04 11:30:00+09:00,666.0,666.0,666.0,666.0,500,0.0,0.0
2024-07-04 11:35:00+09:00,666.0,666.0,666.0,666.0,0,0.0,0.0
2024-07-04 12:30:00+09:00,665.0,665.0,665.0,665.0,3900,0.0,0.0
2024-07-04 13:17:00+09:00,664.0,664.0,664.0,664.0,400,0.0,0.0
2024-07-04 13:26:00+09:00,665.0,665.0,665.0,665.0,200,0.0,0.0
2024-07-04 13:50:00+09:00,663.0,663.0,663.0,663.0,0,0.0,0.0
2024-07-04 14:08:00+09:00,663.0,663.0,663.0,663.0,4700,0.0,0.0
2024-07-04 14:46:00+09:00,664.0,664.0,664.0,664.0,200,0.0,0.0
2024-07-04 14:59:00+09:00,663.0,663.0,662.0,662.0,1100,0.0,0.0
2024-07-05 09:00:00+09:00,663.0,663.0,663.0,663.0,600,0.0,0.0
2024-07-05 09:04:00+09:00,663.0,663.0,663.0,663.0,100,0.0,0.0
2024-07-05 09:14:00+09:00,664.0,664.0,664.0,664.0,300,0.0,0.0
2024-07-05 09:18:00+09:00,665.0,665.0,665.0,665.0,1000,0.0,0.0
2024-07-05 10:09:00+09:00,663.0,663.0,663.0,663.0,0,0.0,0.0
2024-07-05 10:36:00+09:00,662.0,662.0,662.0,662.0,3300,0.0,0.0
2024-07-05 10:58:00+09:00,662.0,662.0,662.0,662.0,100,0.0,0.0
2024-07-05 11:01:00+09:00,661.0,661.0,660.0,660.0,1100,0.0,0.0
2024-07-05 11:19:00+09:00,662.0,662.0,662.0,662.0,100,0.0,0.0
2024-07-05 11:35:00+09:00,662.0,662.0,662.0,662.0,0,0.0,0.0
2024-07-05 12:30:00+09:00,661.0,661.0,660.0,660.0,5700,0.0,0.0
2024-07-05 12:46:00+09:00,663.0,665.0,663.0,665.0,400,0.0,0.0
2024-07-05 13:37:00+09:00,665.0,665.0,665.0,665.0,200,0.0,0.0
2024-07-05 14:49:00+09:00,662.0,662.0,661.0,661.0,1400,0.0,0.0
2024-07-05 14:55:00+09:00,662.0,662.0,662.0,662.0,100,0.0,0.0
2024-07-05 14:59:00+09:00,661.0,661.0,661.0,661.0,300,0.0,0.0
