Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1984-04-24 00:00:00-05:00,1.7602623701095579,2.514660446505075,1.7602623701095579,1.760262370109558,1500,0.0,0.0
1984-04-25 00:00:00-05:00,1.7602623701095579,2.514660446505075,1.7602623701095579,1.760262370109558,1500,0.0,0.0
1984-04-26 00:00:00-05:00,1.7602623701095579,1.7602623701095579,1.7602623701095579,1.760262370109558,0,0.0,0.0
1984-04-27 00:00:00-05:00,1.7602623701095579,1.7602623701095579,1.7602623701095579,1.760262370109558,0,0.0,0.0
1984-04-30 00:00:00-04:00,1.7602623701095579,1.7602623701095579,1.7602623701095579,1.760262370109558,0,0.0,0.0
1984-05-01 00:00:00-04:00,1.7602623701095579,1.7602623701095579,1.7602623701095579,1.760262370109558,0,0.0,0.0
1984-05-02 00:00:00-04:00,1.7602623701095579,1.7602623701095579,1.7602623701095579,1.760262370109558,0,0.0,0.0
1984-05-03 00:00:00-04:00,1.7602623701095579,1.7602623701095579,1.7602623701095579,1.760262370109558,0,0.0,0.0
1984-05-04 00:00:00-04:00,1.7602623701095579,1.7602623701095579,1.7602623701095579,1.760262370109558,0,0.0,0.0
1984-05-07 00:00:00-04:00,1.7602623701095579,1.7602623701095579,1.7602623701095579,1.760262370109558,0,0.0,0.0
1984-05-08 00:00:00-04:00,1.7602623701095579,1.7602623701095579,1.7602623701095579,1.760262370109558,0,0.0,0.0
1984-05-09 00:00:00-04:00,1.7602623701095579,1.7602623701095579,1.7602623701095579,1.760262370109558,0,0.0,0.0
1984-05-10 00:00:00-04:00,1.7602623701095579,1.7602623701095579,1.7602623701095579,1.760262370109558,0,0.0,0.0
1984-05-11 00:00:00-04:00,1.7602623701095579,1.7602623701095579,1.7602623701095579,1.760262370109558,0,0.0,0.0
1984-05-14 00:00:00-04:00,1.7602623701095579,1.7602623701095579,1.7602623701095579,1.760262370109558,0,0.0,0.0
1984-05-15 00:00:00-04:00,1.7602623701095579,1.7602623701095579,1.7602623701095579,1.760262370109558,0,0.0,0.0
1984-05-16 00:00:00-04:00,1.7602623701095579,1.7602623701095579,1.7602623701095579,1.760262370109558,0,0.0,0.0
1984-05-17 00:00:00-04:00,1.7602623701095579,1.7602623701095579,1.7602623701095579,1.760262370109558,0,0.0,0.0
1984-05-18 00:00:00-04:00,1.7602623701095579,2.514660446505075,1.7602623701095579,1.760262370109558,300,0.0,0.0
1984-05-21 00:00:00-04:00,1.7602623701095579,2.514660446505075,1.7602623701095579,1.760262370109558,600,0.0,0.0
1984-05-22 00:00:00-04:00,1.7602623701095579,1.7602623701095579,1.7602623701095579,1.760262370109558,0,0.0,0.0
